X;Y;ID_USIG;NRO_BANCO;NOMBRE;OBJETO;SUCURSAL;DIRECCION;BARRIO;COMUNA;FUNCION;TELEFONO;DETALLE;DIREC_NORM;DIREC_GIS
-58,478072;-34,68701;66;4;SANTANDER RIO;BANCO;CAPITAL FEDERAL;GUAMINI 4843;VILLA RIACHUELO;COMUNA 8;VISUAL Y AUDIO;;;GUAMINI 4843;4843 GUAMINI
-58,478694;-34,657994;108;7;BANCO PATAGONIA;BANCO;CABA;AV. EVA PERON 4902;VILLA LUGANO;COMUNA 8;VISUAL Y AUDIO;;;PERON, EVA AV. 4902;4902 PERON, EVA AV.
-58,505757;-34,65474;49;4;SANTANDER RIO;BANCO;CAPITAL FEDERAL;AV. JUAN BAUTISTA ALBERDI 6224;MATADEROS;COMUNA 9;VISUAL Y AUDIO;;;ALBERDI, JUAN BAUTISTA AV. 6224;6224 ALBERDI, JUAN BAUTISTA AV.
-58,503015;-34,652499;10;1;MACRO;BANCO;CAPITAL FEDERAL;AV. JUAN BAUTISTA ALBERDI 5902;MATADEROS;COMUNA 9;VISUAL Y AUDIO;;;ALBERDI, JUAN BAUTISTA AV. 5902;5902 ALBERDI, JUAN BAUTISTA AV.
-58,495897;-34,645785;103;7;BANCO PATAGONIA;BANCO;CABA;AV. JUAN BAUTISTA ALBERDI 5002;MATADEROS;COMUNA 9;VISUAL Y AUDIO;;;ALBERDI, JUAN BAUTISTA AV. 5002;5002 ALBERDI, JUAN BAUTISTA AV.
-58,524169;-34,639151;112;7;BANCO PATAGONIA;BANCO;CABA;AV. RIVADAVIA 11334;LINIERS;COMUNA 9;VISUAL Y AUDIO;;;RIVADAVIA AV. 11334;11334 RIVADAVIA AV.
-58,41585;-34,638713;107;7;BANCO PATAGONIA;BANCO;CABA;AV. CASEROS 3599;BOEDO;COMUNA 5;VISUAL Y AUDIO;;;CASEROS AV. 3599;3599 CASEROS AV.
-58,454844;-34,631841;58;4;SANTANDER RIO;BANCO;CAPITAL FEDERAL;DIRECTORIO 1950;FLORES;COMUNA 7;VISUAL Y AUDIO;;;DIRECTORIO AV. 1950;1950 DIRECTORIO AV.
-58,460693;-34,628441;25;2;COMAFI;BANCO;FLORES;AV. RIVADAVIA 6770;FLORES;COMUNA 7;VISUAL Y AUDIO;4633-0440;;RIVADAVIA AV. 6770;6770 RIVADAVIA AV.
-58,460356;-34,628326;101;7;BANCO PATAGONIA;BANCO;CABA;AV. RIVADAVIA 6744;FLORES;COMUNA 7;VISUAL Y AUDIO;;;RIVADAVIA AV. 6744;6744 RIVADAVIA AV.
-58,378403;-34,627096;23;2;COMAFI;BANCO;CONTITUCION;BERNARDO DE YRIGOYEN  1578;CONSTITUCION;COMUNA 1;VISUAL Y AUDIO;;;IRIGOYEN, BERNARDO DE 1578;1578 IRIGOYEN, BERNARDO DE
-58,454733;-34,625705;9;1;MACRO;BANCO;CAPITAL FEDERAL;AV. RIVADAVIA 6245;FLORES;COMUNA 7;VISUAL Y AUDIO;;INGRESO A NIVEL;RIVADAVIA AV. 6245;6245 RIVADAVIA AV.
-58,439881;-34,62069;73;4;SANTANDER RIO;BANCO;CAPITAL FEDERAL;ROSARIO 804;CABALLITO;COMUNA 6;VISUAL Y AUDIO;;;ROSARIO 804;804 ROSARIO
-58,439399;-34,619811;43;3;ICBC;BANCO;CABALLITO;AV. RIVADAVIA 5240;CABALLITO;COMUNA 6;VISUAL Y AUDIO;;;RIVADAVIA AV. 5240;5240 RIVADAVIA AV.
-58,440008;-34,619673;8;1;MACRO;BANCO;CAPITAL FEDERAL;AV. RIVADAVIA 5273;CABALLITO;COMUNA 6;VISUAL Y AUDIO;;INGRESO A NIVEL;RIVADAVIA AV. 5273;5273 RIVADAVIA AV.
-58,505117;-34,619633;121;7;BANCO PATAGONIA;BANCO;CABA;AV. ALBAREZ JONTE 4740;MONTE CASTRO;COMUNA 10;VISUAL Y AUDIO;;;ALVAREZ JONTE AV. 4740;4740 ALVAREZ JONTE AV.
-58,438763;-34,61912;53;4;SANTANDER RIO;BANCO;CAPITAL FEDERAL;AV. RIVADAVIA 5173;CABALLITO;COMUNA 6;VISUAL Y AUDIO;;;RIVADAVIA AV. 5173;5173 RIVADAVIA AV.
-58,437514;-34,618565;93;5;HSBC;BANCO;CAPITAL FEDERAL;AV. RIVADAVIA 5075;CABALLITO;COMUNA 6;VISUAL Y AUDIO;;;RIVADAVIA AV. 5075;5075 RIVADAVIA AV.
-58,502431;-34,618208;48;4;SANTANDER RIO;BANCO;FLORESTA;AV. ALBAREZ JONTE 4502;MONTE CASTRO;COMUNA 10;VISUAL Y AUDIO;;;ALVAREZ JONTE AV. 4502;4502 ALVAREZ JONTE AV.
-58,428713;-34,616547;68;4;SANTANDER RIO;BANCO;CAPITAL FEDERAL;AV. LA PLATA 140;ALMAGRO;COMUNA 5;VISUAL Y AUDIO;;;LA PLATA AV. 140;140 LA PLATA AV.
-58,527413;-34,615529;99;7;BANCO PATAGONIA;BANCO;CABA;AV. FRANCISCO BEIRO 5491;VILLA REAL;COMUNA 10;VISUAL Y AUDIO;;;BEIRO, FRANCISCO AV. 5491;5491 BEIRO, FRANCISCO AV.
-58,426935;-34,614285;54;4;SANTANDER RIO;BANCO;CAPITAL FEDERAL;AV. RIVADAVIA 4364;ALMAGRO;COMUNA 5;VISUAL Y AUDIO;;;RIVADAVIA AV. 4364;4364 RIVADAVIA AV.
-58,524762;-34,613547;21;2;COMAFI;BANCO;CAPITAL FEDERAL;AV. FRANCISCO BEIRO 5265;VILLA DEVOTO;COMUNA 11;VISUAL Y AUDIO;4639-1024;;BEIRO, FRANCISCO AV. 5265;5265 BEIRO, FRANCISCO AV.
-58,524762;-34,613547;27;2;COMAFI;BANCO;DEVOTO;AV. FCO. BEIRO 5265;VILLA DEVOTO;COMUNA 11;VISUAL, AUDIO Y RAMPA;4639-1024;;BEIRO, FRANCISCO AV. 5265;5265 BEIRO, FRANCISCO AV.
-58,423444;-34,612741;115;7;BANCO PATAGONIA;BANCO;CABA;AV. RIVADAVIA 4100;ALMAGRO;COMUNA 5;VISUAL Y AUDIO;;;RIVADAVIA AV. 4100;4100 RIVADAVIA AV.
-58,418263;-34,610826;72;4;SANTANDER RIO;BANCO;CAPITAL FEDERAL;AV. RIVADAVIA 3681;ALMAGRO;COMUNA 5;VISUAL Y AUDIO;;;RIVADAVIA AV. 3681;3681 RIVADAVIA AV.
-58,411852;-34,610742;15;1;MACRO;BANCO;CAPITAL FEDERAL;AV. RIVADAVIA 3202;BALVANERA;COMUNA 3;VISUAL Y AUDIO;;;RIVADAVIA AV. 3202;3202 RIVADAVIA AV.
-58,516418;-34,610454;94;5;HSBC;BANCO;CAPITAL FEDERAL;JOSE PEDRO VARELA 4750;VILLA DEVOTO;COMUNA 11;VISUAL Y AUDIO;;;VARELA, JOSE PEDRO 4750;4750 VARELA, JOSE PEDRO
-58,382135;-34,609599;78;5;HSBC;BANCO;CAPITAL FEDERAL;LIMA 93;MONSERRAT;COMUNA 1;VISUAL Y AUDIO;;;LIMA 93;93 LIMA
-58,428651;-34,608544;102;7;BANCO PATAGONIA;BANCO;CABA;AV. DIAZ VELEZ 4363;ALMAGRO;COMUNA 5;VISUAL Y AUDIO;;;DIAZ VELEZ AV. 4363;4363 DIAZ VELEZ AV.
-58,376608;-34,60831;113;7;BANCO PATAGONIA;BANCO;CABA;CHACABUCO 15;MONSERRAT;COMUNA 1;VISUAL Y AUDIO;;;CHACABUCO 15;15 CHACABUCO
-58,374404;-34,607299;45;3;ICBC;BANCO;CENTRO;AV. ROQUE SAEZ PENIA 567;SAN NICOLAS;COMUNA 1;VISUAL Y AUDIO;;;SAENZ PENIA, ROQUE, PRES. AV. 567;567 SAENZ PENIA, ROQUE, PRES. AV.
-58,445953;-34,607276;106;7;BANCO PATAGONIA;BANCO;CABA;AV. GAONA 1129;VILLA CRESPO;COMUNA 15;VISUAL Y AUDIO;;;GAONA AV. 1129;1129 GAONA AV.
-58,375871;-34,607017;16;2;COMAFI;BANCO;CAPITAL FEDERAL;AV. ROQUE SAEZ PENIA 660;SAN NICOLAS;COMUNA 1;VISUAL Y AUDIO;4347-0400;CUENTA CON UNA ENTRADA ESPECIAL PARA SILLAS DE RUEDA;SAENZ PENIA, ROQUE, PRES. AV. 660;660 SAENZ PENIA, ROQUE, PRES. AV.
-58,424815;-34,606622;81;5;HSBC;BANCO;CAPITAL FEDERAL;GASCON 450;ALMAGRO;COMUNA 5;VISUAL, AUDIO Y RAMPA;;;GASCON 450;450 GASCON
-58,39238;-34,606086;6;1;MACRO;BANCO;CONGRESO;AV. CALLAO 264;BALVANERA;COMUNA 3;VISUAL Y AUDIO;;;CALLAO AV. 264;264 CALLAO AV.
-58,37365;-34,605792;118;7;BANCO PATAGONIA;BANCO;CABA;CASA CENTRAL TTE. GRAL. JUAN DOMINGO PERON 500;SAN NICOLAS;COMUNA 1;VISUAL Y AUDIO;;;PERON, JUAN DOMINGO, TTE. GENERAL 500;500 PERON, JUAN DOMINGO, TTE. GENERAL
-58,424748;-34,605781;92;5;HSBC;BANCO;CAPITAL FEDERAL;PTE. PERON 4111;ALMAGRO;COMUNA 5;VISUAL Y AUDIO;;;PERON, JUAN DOMINGO, TTE. GENERAL 4111;4111 PERON, JUAN DOMINGO, TTE. GENERAL
-58,37869;-34,605483;59;4;SANTANDER RIO;BANCO;CAPITAL FEDERAL;AV. ROQUE SAENZ PENIA 844;SAN NICOLAS;COMUNA 1;VISUAL Y AUDIO;;;SAENZ PENIA, ROQUE, PRES. AV. 844;844 SAENZ PENIA, ROQUE, PRES. AV.
-58,399066;-34,604437;34;3;ICBC;BANCO;BALVANERA;AV. CORRIENTES 2267;BALVANERA;COMUNA 3;VISUAL Y AUDIO;;;CORRIENTES AV. 2267;2267 CORRIENTES AV.
-58,380092;-34,60432;77;5;HSBC;BANCO;CAPITAL FEDERAL;ROQUE SAEZ PENIA 943;SAN NICOLAS;COMUNA 1;VISUAL Y AUDIO;;;SAENZ PENIA, ROQUE, PRES. AV. 943;943 SAENZ PENIA, ROQUE, PRES. AV.
-58,370792;-34,604272;75;5;HSBC;BANCO;CAPITAL FEDERAL;25 DE MAYO;SAN NICOLAS;COMUNA 1;VISUAL Y AUDIO;;;25 DE MAYO;25 DE MAYO
-58,41031;-34,604212;100;7;BANCO PATAGONIA;BANCO;CABA;AV. CORRIENTES 3200;BALVANERA;COMUNA 3;VISUAL Y AUDIO;;;CORRIENTES AV. 3200;3200 CORRIENTES AV.
-58,372543;-34,604191;3;1;MACRO;BANCO;CASA CENTRAL;SARMIENTO 401;SAN NICOLAS;COMUNA 1;VISUAL Y AUDIO;;NO CUENTA CON INGRESO PARA SILLA;SARMIENTO 401;401 SARMIENTO
-58,373588;-34,604043;97;6;BANCO DE CORRIENTES;BANCO;CAPITAL FEDERAL;SAN MARTIN 333;SAN NICOLAS;COMUNA 1;NO POSEE;;;SAN MARTIN 333;333 SAN MARTIN
-58,386978;-34,603848;52;4;SANTANDER RIO;BANCO;CAPITAL FEDERAL;AV. CORRIENTES 1427;SAN NICOLAS;COMUNA 1;VISUAL, AUDIO Y RAMPA;;;CORRIENTES AV. 1427;1427 CORRIENTES AV.
-58,372402;-34,603324;105;7;BANCO PATAGONIA;BANCO;CABA;AV. CORRIENTES 400;SAN NICOLAS;COMUNA 1;VISUAL Y AUDIO;;;CORRIENTES AV. 400;400 CORRIENTES AV.
-58,418447;-34,603246;29;3;ICBC;BANCO;ALMAGRO;AV. CRRIENTES 3829;ALMAGRO;COMUNA 5;VISUAL Y AUDIO;;;CORRIENTES AV. 3829;3829 CORRIENTES AV.
-58,424471;-34,603008;7;1;MACRO;BANCO;ALMAGRO;AV. CORRIENTES 4222;ALMAGRO;COMUNA 5;VISUAL Y AUDIO;;INGRESO A NIVEL;CORRIENTES AV. 4222;4222 CORRIENTES AV.
-58,373649;-34,602918;55;4;SANTANDER RIO;BANCO;CAPITAL FEDERAL;SAN MARTIN 427;SAN NICOLAS;COMUNA 1;VISUAL Y AUDIO;;;SAN MARTIN 427;427 SAN MARTIN
-58,380804;-34,602765;42;3;ICBC;BANCO;CENTRO;CARLOS PELLEGRINI 479;SAN NICOLAS;COMUNA 1;VISUAL Y AUDIO;;;PELLEGRINI, CARLOS 479;479 PELLEGRINI, CARLOS
-58,464864;-34,602675;86;5;HSBC;BANCO;CAPITAL FEDERAL;AV. SAN MARTIN 2799;PATERNAL;COMUNA 15;VISUAL Y AUDIO;;;SAN MARTIN AV. 2799;2799 SAN MARTIN AV.
-58,411593;-34,602622;91;5;HSBC;BANCO;CAPITAL FEDERAL;AGUERO 628;BALVANERA;COMUNA 3;VISUAL Y AUDIO;;;AGUERO 628;628 AGUERO
-58,430647;-34,602389;62;4;SANTANDER RIO;BANCO;CAPITAL FEDERAL;AV. CORRIENTES 4626;ALMAGRO;COMUNA 5;VISUAL, AUDIO Y RAMPA;;;CORRIENTES AV. 4626;4626 CORRIENTES AV.
-58,513153;-34,601891;56;4;SANTANDER RIO;BANCO;CAPITAL FEDERAL;ASUNCION 4189;VILLA DEVOTO;COMUNA 11;VISUAL Y AUDIO;;;ASUNCION 4189;4189 ASUNCION
-58,368726;-34,601572;117;7;BANCO PATAGONIA;BANCO;CABA;LAVALLE 45;SAN NICOLAS;COMUNA 1;VISUAL Y AUDIO;;;LAVALLE 45;45 LAVALLE
-58,38831;-34,60073;22;2;COMAFI;BANCO;TRIBUNALES;PARANA 696;SAN NICOLAS;COMUNA 1;VISUAL Y AUDIO;;;PARANA 696;696 PARANA
-58,387493;-34,600441;39;3;ICBC;BANCO;TRIBUNALES;VIAMONTE 1453;SAN NICOLAS;COMUNA 1;VISUAL Y AUDIO;;;VIAMONTE 1453;1453 VIAMONTE
-58,367286;-34,600338;65;4;SANTANDER RIO;BANCO;CAPITAL FEDERAL;A.M DE JUSTO 164;PUERTO MADERO;COMUNA 1;VISUAL Y AUDIO;;;MOREAU DE JUSTO, ALICIA AV. 164;164 MOREAU DE JUSTO, ALICIA AV.
-58,399708;-34,599828;71;4;SANTANDER RIO;BANCO;CAPITAL FEDERAL;AV. CORDOBA 2282;BALVANERA;COMUNA 3;VISUAL, AUDIO Y RAMPA;;;CORDOBA AV. 2282;2282 CORDOBA AV.
